doc_no,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
7792,7792,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'class']"
7793,7793,1.0,0.41999998688697815,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['motiv', 'easier', 'understand', 'learn']"
7794,7794,7.0,0.2904999852180481,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['depend', 'alevel', 'subject', 'benefici', 'learn', 'year', '13', 'content', 'math', 'question', 'straight', 'gain', 'quick', 'respons', 'busi', 'live', 'lesson', 'googl', 'meet', '25', 'minut', 'time', 'teacher', 'explain', 'answer', 'question', 'work', 'set']"
7795,7795,1.0,0.3508000075817108,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'understand', 'tell', 'inform', 'copi', 'ppt']"
7796,7796,9.0,0.7027000188827515,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'inclin', 'work']"
7797,7797,8.0,0.3666999936103821,"live, content, inform, upload, video, teach, find, abil, chat, activ","['materi', 'live']"
7798,7798,4.0,0.5249999761581421,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['freedom', 'watch', 'back']"
7799,7799,9.0,0.699999988079071,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'pace']"
7800,7800,1.0,0.30000001192092896,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['harder', 'note', 'stay', 'concentr', 'live', 'class']"
7801,7801,9.0,0.6212999820709229,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'pace', 'deal', 'faf', 'lesson']"
